Phi[deg],Theta[deg],dB(GainTheta)
0,0,-46.1016
24,0,11.9538
48,0,17.1926
72,0,19.3368
96,0,19.7261
120,0,18.5256
144,0,15.1615
168,0,6.14347
192,0,6.11869
216,0,15.1542
240,0,18.5226
264,0,19.7255
288,0,19.3385
312,0,17.1973
336,0,11.9657
360,0,-46.1016
0,6,-43.6955
24,6,10.6809
48,6,15.7762
72,6,17.7864
96,6,18.1405
120,6,17.0282
144,6,13.8093
168,6,4.89793
192,6,4.87361
216,6,13.8148
240,6,17.0434
264,6,18.1563
288,6,17.7991
312,6,15.7863
336,6,10.6853
360,6,-43.6955
0,12,-44.8752
24,12,6.95316
48,12,11.5539
72,12,13.1255
96,12,13.3781
120,12,12.5381
144,12,9.84178
168,12,1.30886
192,12,1.31813
216,12,9.87883
240,12,12.6033
264,12,13.4227
288,12,13.1457
312,12,11.5838
336,12,6.97885
360,12,-44.8752
0,18,-48.0257
24,18,1.60571
48,18,5.16772
72,18,8.23347
96,18,9.31103
120,18,6.54351
144,18,3.81451
168,18,-3.45732
192,18,-3.41185
216,18,3.84978
240,18,6.60485
264,18,9.31775
288,18,8.21073
312,18,5.18658
336,18,1.64822
360,18,-48.0257
0,24,-50.895
24,24,-3.67064
48,24,-0.965053
72,24,7.59725
96,24,9.60696
120,24,3.71847
144,24,-3.05836
168,24,-7.44116
192,24,-7.3899
216,24,-3.07563
240,24,3.63181
264,24,9.58643
288,24,7.62591
312,24,-1.02553
336,24,-3.61811
360,24,-50.895
0,30,-50.7853
24,30,-8.90487
48,30,-3.96838
72,30,4.69895
96,30,6.60557
120,30,0.787811
144,30,-8.24193
168,30,-12.2375
192,30,-12.3008
216,30,-8.1301
240,30,0.711923
264,30,6.58498
288,30,4.68813
312,30,-4.14917
336,30,-8.99741
360,30,-50.7853
0,36,-56.8474
24,36,-15.1943
48,36,-5.7661
72,36,-3.81725
96,36,-3.36649
120,36,-4.97209
144,36,-10.4433
168,36,-17.5968
192,36,-18.1874
216,36,-10.6334
240,36,-4.96852
264,36,-3.47043
288,36,-3.88696
312,36,-5.88372
336,36,-15.3044
360,36,-56.8474
0,42,-45.0754
24,42,-22.6926
48,42,-9.88851
72,42,-7.09452
96,42,-0.147684
120,42,-12.4841
144,42,-15.4775
168,42,-21.0348
192,42,-21.1197
216,42,-16.1526
240,42,-12.3315
264,42,-0.216821
288,42,-6.89289
312,42,-9.97402
336,42,-23.0944
360,42,-45.0754
0,48,-41.8926
24,48,-22.4482
48,48,-17.3864
72,48,-2.70554
96,48,3.20954
120,48,-11.4889
144,48,-19.2507
168,48,-24.6859
192,48,-24.2864
216,48,-19.3897
240,48,-11.4401
264,48,3.20262
288,48,-2.6648
312,48,-17.451
336,48,-22.623
360,48,-41.8926
0,54,-41.4817
24,54,-23.5925
48,54,-21.1576
72,54,-2.98576
96,54,2.36305
120,54,-9.72202
144,54,-18.1047
168,54,-30.6155
192,54,-30.3642
216,54,-17.6324
240,54,-9.6619
264,54,2.44363
288,54,-3.06141
312,54,-20.2789
336,54,-23.4984
360,54,-41.4817
0,60,-44.5499
24,60,-29.967
48,60,-20.2653
72,60,-6.01245
96,60,-1.37302
120,60,-10.3805
144,60,-19.2065
168,60,-32.2677
192,60,-33.4071
216,60,-18.7123
240,60,-10.363
264,60,-1.20345
288,60,-6.09927
312,60,-19.737
336,60,-29.4932
360,60,-44.5499
0,66,-41.1741
24,66,-39.5486
48,66,-20.8695
72,66,-10.045
96,66,-7.47895
120,66,-12.2892
144,66,-22.1365
168,66,-31.5107
192,66,-31.7655
216,66,-21.7267
240,66,-12.401
264,66,-7.10354
288,66,-10.1478
312,66,-21.3998
336,66,-34.1585
360,66,-41.1741
0,72,-46.1299
24,72,-28.5319
48,72,-22.0273
72,72,-16.4679
96,72,-17.1088
120,72,-15.2302
144,72,-25.4134
168,72,-32.5677
192,72,-32.4859
216,72,-25.0955
240,72,-15.1336
264,72,-16.6639
288,72,-16.4395
312,72,-22.4379
336,72,-27.8463
360,72,-46.1299
0,78,-47.9439
24,78,-25.5773
48,78,-23.2905
72,78,-19.8211
96,78,-12.8705
120,78,-17.891
144,78,-27.8006
168,78,-32.4265
192,78,-32.1118
216,78,-27.9565
240,78,-17.8105
264,78,-13.0943
288,78,-20.1268
312,78,-23.939
336,78,-26.1477
360,78,-47.9439
0,84,-50.0734
24,84,-25.284
48,84,-24.4581
72,84,-20.9593
96,84,-10.2746
120,84,-21.7568
144,84,-31.2654
168,84,-35.7383
192,84,-35.6698
216,84,-31.6592
240,84,-21.3694
264,84,-10.2223
288,84,-20.8496
312,84,-25.1054
336,84,-26.7156
360,84,-50.0734
0,90,-52.2852
24,90,-26.5769
48,90,-26.2868
72,90,-18.736
96,90,-8.67219
120,90,-23.5419
144,90,-33.3549
168,90,-37.9411
192,90,-35.6026
216,90,-33.3472
240,90,-22.8566
264,90,-8.70755
288,90,-18.5357
312,90,-27.0509
336,90,-27.0642
360,90,-52.2852
